Sentence,Tense,Verb
where's the other part,1,s
no now now,0,None
why,0,None
because you may hit somebody with it,1,may
hm,0,None
you may throw it,1,may
no throw it to me,1,throw
one at a time,0,None
I can't catch but one,1,can't
how many balls can you find,1,can't
try to put them in the oatmeal box,1,try
is there one behind the door,1,is
didn't you put one in the box,2,didn't
you've got the blue one in there haven't you,1,ve
haven't you,1,haven't
that came from a coffee can,2,came
it may cut you,1,may
no,0,None
I don't think you can get it back on there,1,don't
it's broken,1,s
how many do you have,1,don't
what's too small,1,s
that's too small,1,s
where one what,0,None
tell me how many balls you have in there,1,tell
how many balls you have in there,1,have
three,0,None
okay you count and let me see,1,count
let me see,1,let
put them in my lap as you count them,1,put
you count them,1,count
how many,0,None
three,0,None
I saw more than three,2,saw
okay count again,1,count
let's hear you count,1,let's
that's one,1,s
two,0,None
three,0,None
four five,0,None
that's all,1,s
one two three four five,0,None
one two three four five,0,None
just one,0,None
one one one one one how many do you have in there,1,do
what,0,None
franks,0,None
what kind of franks,0,None
what,0,None
don't shoot Mr Cowboy,1,don't
oh Adam,0,None
hold it up not hang it up,1,hold
not hang it up,1,hang
one two three four what happened,2,happened
one two three four,0,None
it popped,2,popped
you what,0,None
you slipped,2,slipped
did you hurt yourself,2,did
oh is that a game,1,is
what's the name of that game,1,s
yes what's the name of that game,1,s
turn it over,1,turn
you're doing what,1,re
playing games,0,None
boat what,0,None
boat somes,0,None
play games,1,play
what,0,None
what come from the yellow one or the red one,1,come
I don't think that writes,1,don't
that writes,1,writes
dump them in there,1,dump
you know what happened,2,happened
what's so big,1,s
I'm so big,1,m
yes I am so big,1,am
I can't ride in your wagon,1,can't
oh was that coffee,2,was
Adam,0,None
Adam no honey what will he write on,3,will
well what's the matter,1,s
why are so full of energy like that in spurts,1,are
no what,0,None
Adam don't kick anybody,1,don't
Adam,0,None
do you want me to take your shoes off,1,do
well I'll hafta if you kick anybody,3,ll
if you kick anybody,1,kick
what did you throw,2,did
you're not sposta throw anything in the air,1,re
did you know that,2,did
you don't know that,1,don't
well now you know it because I just told you,1,know
because I just told you,2,told
you hafta do them one at a time,1,hafta
you're going to have fun picking those up aren't you,3,re going to
okay,0,None
no I'll hafta put it up now Adam,3,ll
what,0,None
you don't wanna play games,1,don't
here,0,None
pull you for a ride,1,pull
push yourself,1,push
push with your feet,1,push
that's right,1,s
you can give yourself a ride,1,can
yes you're giving yourself a ride,1,re
your tricycle is there,1,is
you hafta pull your wagon back,1,hafta
I think it's running into the television set isn't it,1,think
it's running into the television set isn't it,1,s
isn't it,1,isn't
no,0,None
trailer,0,None
Adam don't you think you may fall,1,don't
you may fall,1,may
what do you see,1,do 
a horse,0,None
in a magazine,0,None
yes it is,1,is
what else do you see,1,do
you see another horse,1,see
some stamps,0,None
you hafta put them on envelopes to mail them,1,hafta
you one envelope's on the floor by Urs foot,1,s 
yes you may fall if you aren't careful,1,may
if you aren't careful,1,aren't
take the pillow out_of the wagon,1,take
well it doesn't belong up there,1,doesn't
yes what,0,None
what,0,None
yes are,0,None
oh you hung that up,2,hung
you better put those back up on the desk,1,put
those are Daddy's glasses,1,are
no don't swing it,1,don't
you may break it dear,1,may
yes I see it swinging but don't swing it,1,see
but don't swing it,1,don't
bring them here and I'll show you how you use them,1,bring
I'll show you how you use them,3,ll
how you use them,1,use
that's right only the other way,1,s
do you see anything,1,do
do you see Urs,1,do
frighten me for,1,frighten
Adam,0,None
yes he's touching you,1,s
hm,0,None
alright,0,None
good morning,0,None
that's a new word,1,s
we can't figure it out,1,can't
talk,1,talk
why don't you talk,1,don't
alright,0,None
would you ask Cromer if he would like some coffee,1,would
if he would like some coffee,1,would
well you didn't ask him if he'd like some,2,didn't
if he'd like some,2,d
okay no more sugar Adam,0,None
you don't need milk,1,don't
you take that in and then come back for the napkins,1,take
and then come back for the napkins,1,then
do you wanna take the napkins for me,1,do
no more sugar for you Adam,0,None
I thought I heard something on the tape,2,thought
I heard something on the tape,2,heard
sounded like b f and o,2,sounded
test,0,None
I don't think I've heard that before,1,don't
I've heard that before,1,ve
the man on the radio,0,None
you want some more espresso,1,want
you have some in your cup,1,have
some espresso,0,None
no sugar,0,None
just take the spoon out if you want it,1,take
if you want it,1,want
no you've already put sugar in your espresso,2,ve
alright,0,None
put them on the chair,1,put
over here dear,0,None
you simply don't wanna put them in the chair,1,don't
alright,0,None
you're going around,1,re
going around what,0,None
what noise,0,None
the tape recorder,0,None
news,0,None
no Adam you can't turn his head,1,can't
that's a nice big brother,1,s
baby's not talking to you,1,s
waving,0,None
you're waving,1,re
come with you,1,come
I thought I'd sit out here so if Paul cries it won't make so much noise on the microphone,2,thought
I'd sit out here so if Paul cries it won't make so much noise on the microphone,2,d
so if Paul cries it won't make so much noise on the microphone,1,cries
it won't make so much noise on the microphone,3,won't
no,0,None
okay,0,None
what happened,2,happened
the sun,0,None
the sun isn't shining in that window,1,isn't
it's on the other side of the house,1,s
oh no she doesn't want any of mine,1,doesn't
I'll give her,3,ll 
well she said now,2,said
but she did say no honey,2,did
no she doesn't want any more,1,doesn't
what's broken,1,s
I'm broken,1,m
no,0,None
I'm not hurt,1,m
alright,0,None
oh no,0,None
I've finished mine,1,ve
it's very good,1,s
is yours good,1,is
oh no why don't you stay out here,1,don't
why not,0,None
I'm all finished,1,m
oh there's a little more,1,m
oh no there's no more,1,m
no no Adam,0,None
let me see the toy,1,let
can you make it go,1,can
I don't know,1,don't
ask Urs what she calls it,1,ask
what she calls it,1,calls
don't put your fingers on it,1,don't
you might hurt your fingers,1,might
no you do it with this,1,don't
Paul Douglas,0,None
what about him,0,None
he's a baby,1,s
yes he is a little baby,1,is
Paul Douglas,0,None
yes,0,None
no good,0,None
why not,0,None
no Adam you just shoot,1,shoot
you don't hit anybody with it,1,don't
you're not big enough,1,re
you can't wear it tomorrow,1,can't
simply wear it,1,wear
what,0,None
be cold,1,be
what is cold,1,is
coffee,0,None
where are you going,1,are
well don't you like your coffee hot,1,don't
you don't drink cold coffee until summer time,1,don't
all up,0,None
throw it away now,1,throw
no,0,None
well why don't you put those three back,1,don't
put the coffee cups back,1,put
I'll hold them here,3,ll
wait don't you unscrew it first,1,don't
no not that one,0,None
the green one,0,None
no not that one,0,None
the green one,0,None
no no,0,None
the other one,0,None
mhm,0,None
the green one,0,None
that's pink,1,s
oh what is that,1,is
derrick,0,None
I wouldn't put it on with blocks in it,1,wouldn't
don't want what,1,don't
you simply don't want what,1,don't
want beans in there,1,want
how did you know there are beans in there,2,did
no they don't come out,1,don't
you heard something,2,heard
I had plenty,2,had
what is that,1,is
sounded like Thursday tow truck like that,2,sounded
maybe somebody hadta stop suddenly,2,hadta
where did what go,2,did
espresso,0,None
did you find it,2,did
no you had juice in your espresso,2,had
you're making trains,1,re
I'm not going any place,1,m
oh you're going to do that puzzle,3,re going to
nobody wants to touch it,1,wants
did you say excuse me please,2,did
what's the cow's name,1,s
oh the cow's name is Adam,1,is
you,0,None
you're not funny,1,re
those are carrots,1,are
it goes there,1,goes
that's what,1,s
it's on the floor,1,s
okay,0,None
Adam look up on the ceiling,1,look
I see something up on the ceiling,1,see
what do you see,1,do
yes,0,None
you what,0,None
you like tree,1,like
it sounded like busy,2,sounded
why are you doing that,1,are
alright,0,None
it'll be ready soon,3,ll 
what,0,None
no no it's hot,1,s
oh yes,0,None
what am I doing,1,am
I'm folding diapers,1,m
yes for Adam,0,None
a diaper,0,None
I hear you,1,hear
what do you do for hiccups Adam,1,do
what you doing Adam,0,None
what's that,1,s
who's over in the meadow,1,s
yes,0,None
what is it,1,is
what are these,1,are
would you like some cookies,1,would
yahoo,0,None
what was that word honey,2,was
was that like her,2,was
just move Bobo out_of your way,1,move
fish swim in the water with you,1,swim
where are some fish,1,are
where,0,None
down there,0,None
what kind of fish,0,None
red fish,0,None
what other kind of fish,0,None
you're swimming,1,re
you're not swimming now,1,re
alright,0,None
that's enough,1,s
no I'll get you a spoon,3,ll
just leave that there,1,leave
come on,1,come
you what,0,None
oh you're going to drop them out,3,re going to
don't hurry,1,don't
why not,0,None
what,0,None
isn't it Chippewa,1,isn't
I never heard of a thing,2,heard
over in the fish house,0,None
what did you have in the fish house,2,did
little fish house,0,None
no Adam you take one,1,take
alright,0,None
take two,1,take
yes you have some yourself,1,have
eat what,1,eat
what,0,None
poor,0,None
poor what,0,None
oh poor little fellow,0,None
what do you want some more of,1,do
do you want some more cookies,1,do
Adam what did I tell you about that,2,did
if you wanna step on somebody's foot then get Bobo and step on him,1,wanna
then get Bobo and step on him,1,get
step on him,1,step
you're too big,1,re
well then you're too big to step on anybody,1,re
do you do you see the doggie back there,1,look
did he bite you,2,did
look on the back of Bozo,1,s
oh he's looking happy,1,s
Adam Smith,0,None
how many cookies do you have over there,1,do
fourteen,0,None
because you'll break it,3,ll
no,0,None
where's your cup,1,s
Adam what are you doing,1,are
Adam what are you doing,1,are
I think he said here we go,1,think
he said here we go,2,said
here we go,1,go
he's sleeping,1,s
I been chug,0,None
I've been chugging I guess,1,ve
you're turned over,1,re
you're not tired now ,1,re
you're just crying,1,re
you have some,1,have
would you ask him,1,would
would you ask him if he'd like some more,1,would
if he'd like some more,1,d
like some ones,0,None
he doesn't want a cookie ,1,doesn't
after you've had your dirty fingers all over it,1,ve
take it out_of your mouth and just pretend,1,take
just pretend,1,pretend
when you pretend you don't put it in,1,pretend
you don't put it in,1,don't
how many doughnuts do you have,1,do
nobody simply asked you to put doughnuts the library,2,asked
how many cats,0,None
three cats,0,None
well don't do it on that,1,don't
you write on paper Adam,1,write
you can't since write on paper,1,can't
funny like what,0,None
before what,0,None
before me,0,None
you woke up at fourteen o'clock,2,woke
I'd like to know what time fourteen o'clock is,1,d
what time fourteen o'clock is,1,is
my clock only goes to twelve,1,goes
now what kind of clock do you have that goes to nineteen,1,do
that goes to nineteen,1,goes
oh it goes to fourteen,1,goes
I don't think he knows that,1,don't
he knows that,1,knows
oh well I look at the watch,1,look
Adam how do you know,1,do
you're not spaghetti,1,re
what are you,1,are
spaghetti on your leg,0,None
don't let it fall,1,don't
because you'll spill it,3,ll
here me comes,1,comes
what happened to I,2,happened
what noise,0,None
no more,0,None
I think you've had enough,1,think
you've had enough,1,ve
no I've had enough and I think you've had enough too,1,ve
and I think you've had enough too,1,think
you've had enough too,1,ve
oh no I've finished mine,2,ve
you may have some water,1,may
you don't want some water,1,don't
you don't wanna like water,1,don't
oh you want another water,1,want
it's good for you,1,s
you're burned no more,1,re
son,0,None
grandson,0,None
what about grandson,0,None
whose grandson are you,1,are
you're not grandson you're Adam,1,re
well you must be somebody's grandson,1,must
whose grandson are you,1,are
thank you,1,thank
Adam don't throw those,1,don't
remember,1,remember
yes,0,None
you don't wanna remember,1,don't
baseball,0,None
baseball,0,None
you stepped on your cowboy hat,2,stepped
be careful,1,be
here it is,1,is
what happened,2,happened
what happened,2,happened
you hit who,2,hit
ask Cromer if he wants some coffee,1,ask
if he wants some coffee,1,wants
some what,0,None
did you ask Cromer if he wants some,2,did
if he wants some,1,wants
did you ask him if he'd like some coffee,2,did
if he'd like some coffee,2,d
okay thank you,1,thank
look,1,look
how do you know that's coffee,1,do
that's coffee,1,s
what are you writing,1,are
Captain_Kangaroo,0,None
what does Captain_Kangaroo write,1,does
oh he writes with a pencil,1,writes
what,0,None
that's green,1,s
you need some,1,need
why don't you sit down there on the floor and write okay,1,don't
you're Adam,1,re
I won't step on your candy,3,won't
wait Adam,1,wait
now you've spilled a whole cup of sugar almost,1,ve
would you like one cookie Adam,1,would
two,0,None
okay,0,None
do you see the post man,1,do
what,0,None
horn coming up,0,None
now what's the doggie doing,1,s
he's eating what all up,1,s
you're having spaghetti,1,re
what is it,1,is
can you look in it,1,can
see you,1,see
no you don't,1,don't
go and ask Urs what you watch through a telescope,1,go
ask Urs what you watch through a telescope,1,ask
what you watch through a telescope,1,watch
no close it and turn it over,1,close
what were the magic words that Urs said,2,were
the magic words that Urs said,2,said
with a beard,0,None
turn it over,1,turn
and say the magic words,1,say
what are the magic words,1,are
you didn't say the right magic words,2,didn't
close it and try again,1,close
try again,1,try
turn it over,1,turn
now rub it,1,rub
what are you doing,1,are
what,0,None
put the cookies back on the table so Urs and Cromer can have some,1,put
so Urs and Cromer can have some,1,can
Adam where are you going with the cookies,3,are you going
mhm,0,None
under the chair with your telephone,0,None
careful Adam did you hit Urs,2,did
no you didn't hit me,2,didn't
she's funny,1,s
tractor,0,None
your bunkhouse,0,None
no it's over there,1,s
where's what,1,s
your washing machine,0,None
is that what you said,1,is
what you said,2,said
I think it's behind the door,1,s
behind the door,0,None
in the box of toys behind you,0,None
is it in there,1,is
I thought you said it was in there,2,thought
you said it was in there,2,said
it was in there,2,was
you're looking for it,1,re
there it is,1,is
right in my lap,0,None
that wasn't a dime,2,wasn't
that was a penny,2,wasn't
it's on the floor,1,s
didn't you see the penny,2,didn't
turn it over and say the magic words,1,turn
say the magic words,1,say
is that right,1,is
did you turn it over,2,did
I don't know,1,don't
you hafta ask Urs,1,hafta
you have some more,1,have
you spilled it didn't you,2,spilled
didn't you,2,didn't
yes,0,None
over towards the door,0,None
the other door,0,None
careful Adam,0,None
thank you who,1,thank
magic words,0,None
where's the magic box,1,s
what does the big bad giant say,1,does
magic hand,0,None
do you remember that story,1,do
puppy,0,None
did you ask Cromer if he wants another cookie,2,did
if he wants another cookie,1,wants
I thought you were going to ask her if she wanted something else,2,thought
you were going to ask her if she wanted something else,2,were
if she wanted something else,2,wanted
one what,0,None
one piece of dirt,0,None
what is that,1,is
hm,0,None
no no Adam,0,None
what is it,1,is
Chocks are vitamins,1,are
she didn't say Chocks,2,didn't
she said chalk,2,said
I don't know,1,don't
did you show Urs the puppet,2,did
she wouldn't frighten you,1,wouldn't
hello,0,None
you're tired,1,re
are you tired,1,are
what is it,1,is
you open it,1,open
blow,1,blow
funny baseball I think he said,1,think
he said,2,said
that's the other part of Urs game isn't it,1,s
you hafta wash it,1,hafta
how did it get dirty,2,did
what are you looking for in there,1,are
did you ask Urs,2,did
what is he making,1,is
airplane,0,None
what is it Adam,1,is
it can't be fixed,1,can't
hm,0,None
okay you go back out there and I'll let you have it,1,go
and I'll let you have it,3,ll
I'm trying to put it together but I don't know how,1,m
but I don't know how,1,don't
hm,0,None
I know but it's not all together,1,know
it's not all together,1,s
you put it back together,1,put
mhm,0,None
when you take those it comes apart,1,take
it comes apart,1,comes
you cracked it,2,cracked
down the meat,0,None
it turns like an airplane,1,turns
hm,0,None
what's going around,1,s
propellers,0,None
hm,0,None
propellers are on airplanes aren't they,1,are
on an airplane someplace,0,None
when you see an airplane you see propellers,1,see
you see propellers,1,see
I don't know,1,don't
I don't know,1,don't
it doesn't look like it does,1,doesn't
you can ride it,1,can
who's a strawberry,1,s
am I a strawberry,1,am
where is the ball,1,is
oh yes,0,None
there it is Adam,1,is
behind the kitchen door,0,None
did you have the ball in there,2,did
where's the ball,1,s
what happened Adam,2,happened
don't what,1,don't
why should I burn you,1,should
your what,0,None
wait Adam,1,wait
what,0,None
did you say dance,2,did
wait you come around here honey,1,wait
you come around here honey,1,come
this is yours,1,is
no let him take his own,1,let
you don't know how much he wants,1,don't
how much he wants,1,wants
okay,0,None
do you want  ask Urs if she wants some,1,want
ask Urs if she wants some,1,ask
if she wants some,1,wants
no she said one,2,said
Adam how many cookies do you want,1,do
just one,0,None
yes,0,None
Adam did you say you're Urs,2,did
you're Urs,1,re
well then Urs must be Adam,1,must
you'll probably be a cowboy,3,ll
where are you going with that cookie,1,are
what did you say Adam,2,did
please don't call you,1,don't
why not,0,None
because Bobo's crying,1,s
why is Bobo crying,1,is
oh he's crying at fourteen o'clock,1,s
why,0,None
you were upstairs,2,were
and he was crying because you were upstairs,2,was
because you were upstairs,2,were
he wants you downstairs,1,wants
he didn't want you to take a nap,2,didn't
you're dripping,1,re
you're sposta drink it honey,1,re
you don't eat it with a spoon,1,don't
that's right,1,s
it's good,1,s
why do you say ssh,1,do 
cowboy's sleeping,1,s
where's the cowboy,1,don't
you don't know but you know he's sleeping,1,don't
but you know he's sleeping,1,know
he's sleeping,1,s
mhm,0,None
look on your shirt,1,look
cranberry juice on your shirt,0,None
that's why you should drink it,1,s
why you should drink it,1,should
no you don't need water on that dear,1,don't
you wanna smoke Camels,1,wanna
why do you wanna smoke Camels,1,don't
I didn't say when I said why,2,didn't
when I said why,2,said
yes what,0,None
yes Urs Paul,0,None
you're playing a new game,1,re
what is it,1,is
I don't know,1,don't
you found it,2,found
where did you find it,2,did
oh magic words and it disappeared,2,disappeared
what happens now,1,happens
oh did you say the right magic words,2,did
is that right,1,is
did you turn it over,2,did
now say the magic words,1,say
then what happens,1,happens
say the magic words,1,say
you ask Ursula,1,ask
cowboy shale or cowboy Bill,0,None
cowboy Bill,0,None
don't put them in anyone's face,1,don't
can you tell Urs what that is,1,can
what that is,1,is
no what's that in your hand,1,s
what is that,1,is
top to what,0,None
yes a baby carriage,0,None
are you finished,1,are
do you want some more coffee,1,do
oh are you eating a cookie,1,are
you like what,1,like
dancing,0,None
your spoon,0,None
you left it out on the table,2,left
don't burn you,1,don't
fire truck,0,None
fire on what,0,None
on gun,0,None
is that where the fire truck has gone,1,is
where the fire truck has gone,1,has
can you put the fire out on guns,1,can
they wouldn't need a big fire truck for that,1,wouldn't
oh no he can't blow it,1,can't
you blow it,1,blow
you can blow,1,can
that's right,1,s
that's right,1,s
that's right,1,s
what's in it when you blow,1,s
when you blow,1,blow
some sugar,0,None
you blow it,1,blow
come here and I'll show you how to do it,1,come
and I'll show you how to do it,3,ll
let me hold it and help you,1,let
help you,1,help
hold it at the top,1,hold
what are the colors,1,are
red yes,0,None
what color is that,1,is
hm,0,None
painting,0,None
what color is that,1,is
what color is that,1,is
what color is that,1,is
what color is that,1,is
red,0,None
no,0,None
hold it now,1,hold
you managed,2,managed
hopping to Missouri,0,None
that's a song,1,s
hopping to Missouri in the bag,0,None
Shadow_Gay is the horse that won the Kentucky Derby,1,is
that won the Kentucky Derby,2,won
how does he hop,1,does
what,0,None
airplane walk,0,None
two of them,0,None
you go talk to Urs,1,go
ask her why you put string on it,1,ask
why you put string on it,1,put
cowboy's going to shoot with you,3,s going to
what cowboy,0,None
he didn't say anything,2,didn't
soxy soccer,0,None
on my face,0,None
he saw some clowns at the circus throw pies,2,saw
some clowns at the circus throw pies,1,throw
you're going to get out your game,3,re going to
what game,0,None
soxer,0,None
what's a soxer,0,None
saucer,0,None
no I say boxer,1,say
what did you say,2,did
come little fellow,1,come
you're going to wait for something,3,re going to
what did you say,2,did
good word,0,None
he doesn't want pie,1,doesn't
you go back in the living room,1,go
come on,1,come
let's go,1,let's
oh what are you now,1,are
whoops,0,None
baseball,0,None
the song was daisy daisy,2,was
did you break one of the wheels,2,did
why did you do that,2,did
because Shadow_Gay did what,2,did
hugged you,2,hugged
you've already put sugar in yours so here's your right here,1,ve
so here's your right here,1,s
no that's enough then,1,s
thank you,1,thank
well she'll get her own,3,ll
did you think she needs a helper,2,did
she needs a helper,1,needs
Adam,0,None
what,0,None
what man,0,None
oh,0,None
very best,0,None
alright,0,None
give me your cup,1,give
careful,0,None
don't drop it please,1,don't
Jenny cup,0,None
what's a Jenny cup,1,s
what,0,None
what,0,None
presto,0,None
are you going to be little,3,are you going
when,0,None
why am I mixing the baby's chocolate,1,am
so the baby can drink it,1,can
oh you're Adam,1,re
no no,0,None
okay just a minute you hold that,1,hold
here it is,1,is
see what happens when you put it in,1,happens
when you put it in,1,put
if you wanna drink it,1,wanna
you're going to swallow it,3,re going to
careful Adam,0,None
you were playing with it and you spilled it,2,were
you spilled it,2,spilled
yes you did,2,did
you spilled it again,2,spilled
where,0,None
it's hot,1,s
no,0,None
because it will burn you,3,will
you like it,1,like
you broke another wheel,2,broke
you're going to hafta buy another one and give it to Urs because you're breaking that one,3,re going to 
because it doesn't go if you break it,1,doesn't
if you break it,1,break
no if you take those off the wheels will come off,1,take
the wheels will come off,3,will
no then it doesn't go if the wheels are off,1,doesn't
if the wheels are off,1,are
are those airplanes just like,1,are
they are,1,are
I don't see any propellers on that one,1,don't
are there any propellers,1,are
where,0,None
I don't see any,1,don't
I guess I'm not looking in the right place,1,guess
I'm not looking in the right place,1,m
careful Adam,0,None
put your hand down and get it out,1,put
and get it out,1,get
what she,0,None
oh Urs,0,None
well put your cup on the table there,1,put
well pretend that that's coffee okay,1,pretend
that's coffee okay,1,s
okay,0,None
what happened,2,happened
your spoon got stuck,2,got
down your throat,0,None
why don't you take the things out_of your bag and you be Urs,1,don't
you don't have anything in your bag do you,1,don't
what name is it Adam,1,is
you're going to save it,3,re going to
until your birthday time,0,None
alright,0,None
give it to me,1,give
no put it on the table,1,put
you may break it there,1,may
do you wanna have a birthday,1,do
in what,0,None
oh you're going to let it cool on the stove,1,re going to
is that your stove,1,is
take him out,1,take
pull him out,1,pull
let me see,1,let
what about water,0,None
how does the water get in here,1,does
I just put the driver in the back,2,put
drive what,1,drive
drive by Main Street,1,drive
you're so what,1,re
oh you're so tired,1,re
what about Urs and Cromer,0,None
no no Adam,0,None
no she doesn't wanna wear that hat,1,doesn't
that's a boy's hat,1,s
a little boy's hat,0,None
yes and you're a little boy,1,re
you're not,1,re
what are you,1,are
you're Adam,1,re
Adam boy,0,None
how about boy Adam,0,None
oh it's cool now,1,s
it's not cool,1,s
why not,0,None
let's cool that time,1,let's
you're going to wash dishes,1,re
well I'm afraid you're going to break the plate,1,m
you're going to break the plate,3,re going to
if you break it then I won't have one,1,break
then I won't have one,3,won't
what did you say,2,did
soxer,0,None
let's go back in,1,let's
yes,0,None
you're going to wait for me,3,re going to 
alright,0,None
I'll come in,3,ll
now I'll wait for you to come in,3,ll
don't wait for you to come in,1,don't
why not,0,None
because Urs is broken,1,is
how did she get broken,2,did
how did Urs get broken,2,did
broken on Thursday,0,None
you're coming with your what,1,re
something to show you,0,None
no don't pull your rubbers like that,1,don't
no no,0,None
well that's alright,1,s
you don't hafta wear it,1,don't
just don't pull your rubbers,1,don't
put what on,1,put
I see why you didn't wanna come in,1,see
why you didn't wanna come in,2,didn't
some child outside,0,None
they're playing,1,re
they're playing,1,re
I don't think they're fighting,1,don't
they're fighting,1,re
I think they're just playing,1,think
they're just playing,1,re
going to do what,0,None
you're going to do what,3,re going to
what,0,None
what is that,1,is
a word,0,None
what does that word mean,1,does
we don't need lights on,1,don't
it's daytime Adam,1,s
we only need the lights on at night,1,need
because we have the sun,1,have
it's light enough without the electric light,1,s
electricity,0,None
you're a derrick,1,re
I don't think they're fighting,1,don't
I think they're just playing,1,think
they're just playing,1,re
children outside,0,None
more what,0,None
no I don't think you need any more chocolate,1,don't
you need any more chocolate,1,need
well you still have your juice,1,have
okay,0,None
no,0,None
talk about what,1,talk
alright talk about it,1,talk
you're talking about the word,1,re
what does the word mean,1,does
it means dump you out,1,means
I don't know if it was pillow or Perro,1,don't
what'd I say,1,d
oh nothing of importance,0,None
no he didn't,2,didn't
did you show her your game Adam,2,did
one of those matching games and he knew it all ,1,knew
so he wasn't interested anymore,2,wasn't
no,0,None
eat you cookie,1,eat
take the game and explain it to Ursula,1,take
and explain it to Ursula,1,explain
okay you're going to play with Urs,3,re going to
is that a b,1,is
there's one on the floor,1,s
they're firemen,1,re
where,0,None
outside,0,None
the children,0,None
Adam,0,None
I think you had more than two cookies,2,had
how many do you have,1,do
just two,0,None
you're patting him,1,re
did he fly,2,did
go play the game with Urs,1,go
well I thought you were going to play the game,2,thought
you were going to play the game,2,were
well I can't change your diaper right now,1,can't
you should have told Mommy you hadta go upstairs,1,should
you hadta go upstairs,2,hadta
right,0,None
why didn't you,2,didn't
yes why didn't you,2,didn't
I'll change your diaper later but not right now,3,ll
why did I say not right now,2,did
you have two,1,have
well I don't think you needta eat these,1,don't
I think you've had enough,1,think
you've had enough,1,ve
I'll put them up here for after lunch okay,3,ll
busy bulldozer,0,None
snap you,1,snap
what do you mean snap you,1,do
eat it all up,1,eat
the cupcake,0,None
no no don't put that in your mouth Adam,1,don't
take it out,1,take
no if he goes in there he can't see where he's going,1,goes
he can't see where he's going,1,can't
where he's going,1,s
no don't pull it,1,don't
what is this,1,is
his tail yes,0,None
I suppose that's something to keep his tail up when he hops,1,suppose
that's something to keep his tail up when he hops,1,s
when he hops,1,hops
do you think he can hop to Missouri,1,do
he can hop to Missouri,1,can
oh I don't think so,1,don't
Missouri's such a long ways away,1,s
hello Adam,0,None
talk to his mouth,1,talk
what is that in his mouth,1,is
yes he has a tongue,1,has
just like Adam,0,None
he has two green eyes,1,has
just like Adam,0,None
just like Mommy,0,None
just like Urs Cromer,0,None
she's a lady,1,s
yes she's Urs,1,s
you're drawing a shadow,1,re
Adam you dropped one over here dear,2,dropped
no careful,0,None
you write with those pencils,1,write
thank you,1,thank
what color is this then,1,is
this is blue,1,is
that's not red,1,s
that's yellow,1,s
come and look at my pencil,1,come
look at my pencil,1,look
I've got something interesting on mine,1,ve
what is that,1,is
Bozo,0,None
that's not Bozo,1,s
what's on there,1,s
star yes,0,None
yes just like we saw on Captain_Kangaroo,2,saw
does your pencil have numbers,1,does
zero,0,None
and what else,0,None
in the basement,0,None
it's for you,1,s
well what is it,1,is
did you finish drawing,2,did
okay you go back out and I'll bring your juice,1,go
and I'll bring your juice,3,ll
and I'll bring your juice,3,ll
skedaddle,0,None
skedaddle,0,None
it's a new word from one of his books,1,s
oh thank you,1,thank
is that a fireman,1,is
why don't you scoot out there and I'll come out in a minute okay,1,don't
and I'll come out in a minute okay,3,ll
did you draw,2,did
what did you draw on the cup,2,did
some what,0,None
carby,0,None
what's carby,1,s
cowboy,0,None
what are you doing,1,are
good tasting what,0,None
why,0,None
I don't know unless we just read Little Miss Muffet curds and whey,1,don't
we just read Little Miss Muffet curds and whey,2,read
what do you need,1,do
bring your cup ,1,bring
and I'll think about giving you some,3,ll
and I'll think about giving you some,3,ll
you stay out there,1,stay
well that's all you need,1,s
I did,2,did
you put a little chocolate and hot milk,1,put
it wasn't dancing,2,wasn't
like this,0,None
tie what,1,tie
your tail,0,None
where's your tail,1,s
in where,0,None
in your ear,0,None
where does it hurt,1,does
what,0,None
your tail,0,None
where,0,None
that's no tail,1,s
a piece of string in your,0,None
nose,0,None
airplane shoot who,1,shoot
I see you did,1,see
you did,2,did
you spilled a lot didn't you,2,spilled
didn't you,2,didn't you
hm,0,None
I don't think there are any,1,don't
there are any,1,are
Thursday,0,None
no I don't need any sugar thank you,1,don't
thank you,1,thank
Adam,0,None
Adam no,0,None
you scoot,0,None
Adam no,0,None
did you tell Urs about that lion that was in your bed last night,2,did
that was in your bed last night,2,was
I think you broke it,1,think
you broke it,2,broke
I don't know why you broke it,1,don't
why you broke it,2,broke
Adam I think you're missing your mouth,1,think
you're missing your mouth,1,re
look at your shirt,1,look
does it tickle,1,does
oh did you tell her what color the lion was,2,did
what color the lion was,2,was
what color was the lion,2,was
where are you Adam,1,are
do I want the lion to frighten me,1,do
no,0,None
oh I don't like to be frightened,1,don't
we're going to turn the light on so you can see,3,re going to
what did we say about the light,2,did
I just took a nap before I came,2,took
before I came,2,came
took a nap just like Adam,2,took
you sing it for her,1,sing
you sing it for her,1,sing
oh no you have all the toys that were in there,1,have
all the toys that were in there,2,were
well they're over there behind the door,1,re
what did you say Adam,2,did
it's in your bed isn't it,1,s
you're looking for it,1,re
did you find it,2,did
what that piggie,0,None
what's the piggie's name,1,s
did you tell Urs and Cromer about your trip on Saturday,2,did
when you went down to the Boston_Common,2,went
and what did you see,2,did
what,0,None
pigs,0,None
where did you see pigs,2,did
look like moto scooter,1,look
a motor scooter,0,None
well what were those big things you saw,2,were
those big things you saw,2,saw
you know Saturday when we saw some children on the water and you saw some dogs and squirrels and what else,1,know
when we saw some children on the water and you saw some dogs and squirrels and what else,2,saw
